MR-ID,images-src,product_name,price,sold-status
"MR11325","http://www.metroretrofurniture.com/images/stools/abo82steelcaseofficestoolcobalt01_t.jpg","Vintage Mid Century Steelcase Secretary Stool 43-47""","149","SOLD"
"MR11877","http://www.metroretrofurniture.com/images/miscelaneous/abx53paulmccobbstyleheadboard06_t.jpg","97"" Vintage American of Martinsville Headboard SOLD","2900","SOLD"
"MR12110","http://www.metroretrofurniture.com/images/credenza/aca63crdenzarefinished03_t.jpg","Vintage Mid Century Modern Credenza","2320","null"
"MR11797","http://www.metroretrofurniture.com/images/dining/abw30broyhillsculptradiningset05_t.jpg","Vintage Sculptra Broyhill Expandable Dining Table and 8 Chairs Set  HOLD","1995","SOLD"
"MR11633","http://www.metroretrofurniture.com/images/dunbar/abr86downcouch06_t.jpg","(2) Vintage Dunbar Wormley Style Down Sofas ( abr86 )","3900","null"
"MR11743","http://www.metroretrofurniture.com/images/chairIII/abv29woodvinylbarstool01_t.jpg","Vintage Wooden Bar Counter Stool Thomas Hayes Style","720","null"
"MR12023","http://www.metroretrofurniture.com/images/dining/abz54tableandbrasstubularchairs01_t.jpg","(8) Vintage Dining Chairs and Birds Eye Maple Dining Table PRICE REDUCED","2900","SOLD"
"MR12143","http://www.metroretrofurniture.com/images/marble/acc36marblechromecontable03_t.jpg","84"" Knoll DUrso Oval White Marble Chrome Dining Conference Table HOLD","5900","SOLD"
"MR11802","http://www.metroretrofurniture.com/images/eames/abv65hermanmillerorangefabric01_t.jpg","(2) Vintage Herman Miller Eames Upholstered Fiberglass Side Shell Chairs","750","SOLD"
"MR11601","http://www.metroretrofurniture.com/images/chair/abs67bamboowoodloungechairs05_t.jpg","Vintage Mid Century Bamboo Side Chair","399","SOLD"
"MR12371","http://www.metroretrofurniture.com/images/consoletable/ace66console04_t.jpg","Mid Century Vintage Bronze Marble Console Table in the Manner of Maison Jansen hold","5900","SOLD"
"MR11804","http://www.metroretrofurniture.com/images/newarrivals/abw34conatballstyleheadboardfootboard07_t.jpg","Vintage Conant Ball Style Bed Headboard and Footboard","995","SOLD"
"MR11270","http://www.metroretrofurniture.com/images/rugs/aav83rug04_t.jpg","5ft x 8ft Oriental Hand Knotted Wool Indian Rug 70%","1395","SOLD"
"MR11934","http://www.metroretrofurniture.com/images/tables/aby11marblerjgibbingstable05_t.jpg","(2) Vintage T.H. Robsjohn-Gibbings for Widdicomb Cocktail Tables SOLD","8900","SOLD"
"MR11966","http://www.metroretrofurniture.com/images/dining/aby23magistrottiresintablechairs04_t.jpg","Vintage Vico Magistretti for Artemide Dining Set","2200","null"
"MR11772","http://www.metroretrofurniture.com/images/tables/abw51walnutbutterfly02_t.jpg","8ft Vintage Mid Century Modern Walnut Table Desk","2500","SOLD"
"MR11733","http://www.metroretrofurniture.com/images/armoire/abt78midcenturyarmoireoak04_t.jpg","Vintage European Oak Armoire","1900","null"
"MR11057","http://www.metroretrofurniture.com/images/knoll2/abn38knollsofa03_t.jpg","Rare Vintage Knoll Drake Sofa Couch by Ladislav Rado ( abn38 )","7900","null"
"MR11669","http://www.metroretrofurniture.com/images/credenza/abt80midcenturycredenza06_t.jpg","66"" Vintage Mid Century Modern Danish Teak Buffet Credenza ( abt80 ) SOLD","2900","SOLD"
"MR12111","http://www.metroretrofurniture.com/images/tables/acb24nathanexpandabletable01_t.jpg","Vintage Mid Century Modern Expandable Dining Table","995","null"
"MR11612","http://www.metroretrofurniture.com/images/constant%20contact/am96vintageoutdoorfurniture05_t.jpg","Spring Sale","399","SOLD"
"MR11230","http://www.metroretrofurniture.com/images/chair/abo21maroonstackablechairs04_t.jpg","Vintage Krueger OpenArk Maroon Stacking Chair ( abo21 )","149","null"
"MR11475","http://www.metroretrofurniture.com/images/cabinet/abr43credenza04_t.jpg","56"" Vintage Danish Teak Sideboard Credenza Cabinet","595","SOLD"
"MR11027","http://www.metroretrofurniture.com/images/sculpture/abn09ironfish03_t.jpg","35"" Iron Fish Sculpture by Frederick Weinberg ( abn09 )","2500","null"
"MR11110","http://www.metroretrofurniture.com/images/chair/aba77tubularbrownleatherbrnochair02_t.jpg","(1) Mies van der Rohe Knoll Brown Leather Brno Tubular Chair","600","SOLD"
"MR11295","http://www.metroretrofurniture.com/images/desk/abo100greylaminatemetal05_t.jpg","5ft Vintage Mid Century Modern Adjustable Desk ( abo100 )","395","null"
"MR11928","http://www.metroretrofurniture.com/images/knoll/abp41knollblackchairswithcastors05_t.jpg","Set of 10 Vintage Mid Century Knoll Saarinen Arm Chairs","11000","SOLD"
"MR11586","http://www.metroretrofurniture.com/images/miscelaneous/CON205glasspicture02_t.jpg","Vintage 1960s Acrylic Candelabrum Candle Holder PRICE REDUCED ON HOLD","179","SOLD"
"MR11425","http://www.metroretrofurniture.com/images/bench/abr11thayercogginredishbench05_t.jpg","60"" Vintage Thayer Coggin Bench","2500","SOLD"
"MR11513","http://www.metroretrofurniture.com/images/chairIII/abp57loungechairbluedarkoak03_t.jpg","Vintage Mid Century Mahogany Oak Lounge Armchair ( abp57 )","295","null"
"MR12456","http://www.metroretrofurniture.com/images/dresser/ace19asianmidcenturydresser99_t.jpg","Bleached Mahogany Chinoiserie Cabinet In The Manner Of James Mont","3900","SOLD"
"MR11565","http://www.metroretrofurniture.com/images/credenza/abr76burlcredenza17_t.jpg","Vintage 6 Door Curly Maple Credenza ( abr76 )","3120","null"
"MR12057","http://www.metroretrofurniture.com/images/dining/aby69Bamboodiningset11_t.jpg","Vintage Rattan Dining Table and Chairs","1295","null"
"MR12012","http://www.metroretrofurniture.com/images/chair/abxthonetgrayfabricchairwoodlegsset08_t.jpg","(8) Thonet Organic Style Mid Century Modern Dining Chairs SOLD","7900","SOLD"
"MR11961","http://www.metroretrofurniture.com/images/hermanmiller/aby27hmillerwhitelamexpandletable02_t.jpg","60-78"" George Nelson for Herman Miller Expandable X-Leg Dining Table Desk","2900","null"
"MR11242","http://www.metroretrofurniture.com/images/tables/abp33greenlaminatetoptabledesk01_t.jpg","8ft Vintage Green Laminate Table  ( abp33 ) SOLD","495","SOLD"
"MR11846","http://www.metroretrofurniture.com/images/bench/abx18steelecasebench03_t.jpg","Vintage Florence Knoll Style Bench with Side Table","1295","null"
"MR11646","http://www.metroretrofurniture.com/images/chairIII/abt96series7styleredstaindiningchair07_t.jpg","(10) Mid Century Modern Series 7 Style Sandler Side Chairs ( abt96 )","2320","null"
"MR12018","http://www.metroretrofurniture.com/images/dresser/aby93centurycredenza01_t.jpg","7-Drawer Century Furniture Chin Hua Dresser","3900","SOLD"
