MR-ID,images-src,product_name,price,sold-status
"MR2850","","Vintage Modern Stow Davis Marble Top Desk","1999","SOLD"
"MR2359","","1973 Knoll Charles Pfister Sofa Settee Down Stuffed","699","SOLD"
"MR2596","","soldWormley Drexel Precedent Dresser Eames Dunbar","795","SOLD"
"MR2883","","","null","SOLD"
"MR2731","","Mahogany Conference Presentation White Board","349","SOLD"
"MR2701","","Vintage Danish Scandinavian Modern Wood Credenza","695","SOLD"
"MR2295","http://www.metroretrofurniture.com/images/chairIII/mr2295lecorbusiergrandeconfortclubchairblackleather04_t.jpg","(1) Vintage Le Corbusier Grande Comfort Club Chair","1195","SOLD"
"MR2705","http://www.metroretrofurniture.com/images/knoll/knollsuzanneyellow1_t.jpg","(1) Knoll Suzanne Lounge Chair Takahama Kazuhide","795","SOLD"
"MR2520","","","null","SOLD"
"MR2296","","","null","SOLD"
"MR2169","","","null","SOLD"
"MR2798","http://www.metroretrofurniture.com/images/stow/mr2798stowdavissmokeyglasscoffeetable01_t.jpg","42"" Diameter Stow Davis Smoked Glass Chrome Round Coffee Table","899","SOLD"
"MR2579","http://www.metroretrofurniture.com/images/zographos/mr2579restoredzographoschair01_t.jpg","Zographos High Back Alpha Bucket Chair Black Leather","1490","null"
"MR2522","http://www.metroretrofurniture.com/images/brayton/braytoninternationalblackstackers05_t.jpg","(4) Vintage Brayton Stacking Arm Chairs Leather","299","SOLD"
"MR2489","http://www.metroretrofurniture.com/images/sofa/aw09jerryllsofa07_t.jpg","Vintage Jerryll Habegger Butcher Block Sofa Couch","1499","null"
"MR2644","","sold Modern Retro Thonet Breuer Armchair Olive Green","120","SOLD"
"MR2922","","Vintage Florence Knoll Rosewood Credenza Marble Top","4995","SOLD"
"MR2927","","Vintage Modern Sunar Walnut Desk Chrome Trim SOLD","300","SOLD"
"MR2714","","4 Vintage Hickory Traditional Executive Office Chairs","425","SOLD"
"MR2779","http://www.metroretrofurniture.com/images/tables/ac54yellowbaseglass01_t.jpg","Modern Italian Mahogany 39"" Square Dining Table","495","SOLD"
"MR2579","http://www.metroretrofurniture.com/images/zographos/mr2579restoredzographoschair06_t.jpg","Zographos High Back Alpha Bucket Chair Black Leather","1490","null"
"MR2925","","Dunbar Sprunger Chrome Desk Credenza Set Modern","4995","SOLD"
"MR2938","","","null","SOLD"
"MR2709","","Eppinger Exotic Burled Wood Desk & Two Door Cabinet","1600","SOLD"
"MR2272","","","null","SOLD"
"MR2772","","Vintage Antique Retro 1945 Okeefe & Merritt Stove","799","SOLD"
"MR2194","","Gawet Vermont Marble Balance Table","495","SOLD"
"MR2082","","","null","SOLD"
"MR2225","","4 Knoll Saarinen Executive Chairs Merlot Leather","1799","SOLD"
"MR2916","","","null","SOLD"
"MR2696","","sold Johnson Chair Co Pappa Chair Style","395","SOLD"
"MR2629","http://www.metroretrofurniture.com/images/saarinen/mr2629saarinenwithbrownleather05_t.jpg","Vintage Knoll Saarinen Office Side Arm Chair","399","SOLD"
"MR2899","","","null","SOLD"
"MR2900","","Six Knoll Jens Risom Blue 666 WSP Chairs","1395","SOLD"
"MR2159","","sold Knoll Reff Small Laterial File Oak","399","SOLD"
"MR2083","","","null","SOLD"
"MR2096","","Vintage 50s Walnut Dining Table & 6 Chairs","949","SOLD"
"MR2528","","2 1950s Steelcase  Lounge Chairs Florence Knoll","1995","SOLD"
"MR2814","http://www.metroretrofurniture.com/images/chairIII/mr7230darkwood03_t.jpg","Sikes Vintage Bank of England Side Arm Chair Walnut","295","SOLD"
"MR2307","","Softlink2191","null","null"
"MR2932","http://www.metroretrofurniture.com/images/conference/whitemarbleconftable5_t.jpg","13ft Vintage Modern White Marble Conference Table~Polished Chrome Base~","5499","SOLD"
"MR2369","","","null","SOLD"
"MR2216","","","null","SOLD"
"MR2896","http://www.metroretrofurniture.com/images/stow/sidetableblackrock04_t.jpg","Mid Century Modern Black Granite Coffee Side End Table","495","null"
"MR2541","","12 Krueger Matrix Poly High Density Stack Armchair","599","SOLD"
"MR2074","","6ft Modern Desk & Credenza Set Tiger Striped","5000","SOLD"
"MR2445","","","null","SOLD"
"MR2659","","6 Vintage Guest Chairs Gray Diamond Fabric","599","SOLD"
"MR2458","http://www.metroretrofurniture.com/images/enronarchitect/enronarch01-3_t.jpg","Robert Stern Enron Drawing Headquarters Expansion","45","null"
"MR2855","","Vintage Modern Retro Yellow Dresser","695","SOLD"
"MR2311","","Vintage Pair of Unique Knoll Stephens Chairs","400","SOLD"
"MR2136","","","null","SOLD"
"MR2350","","Modern Red Polymer Drafting Stool Eames Era","150","SOLD"
"MR2446","","Vintage Fifties General Fireproofing Armchair","225","SOLD"
"MR2253","http://www.metroretrofurniture.com/images/dunbar/ao12ao13dunbardeskandcredenza09_t.jpg","Vintage Rosewood Dunbar Wormley Credenza and Desk Set","9995","SOLD"
"MR2831","","soldHerman Miller Propst Action Desk Modern Office","799","SOLD"
"MR2716","http://www.metroretrofurniture.com/images/knoll2/mr2716knollscarpasofadarkbase07_t.jpg","Mid Century Modern KNOLL Tobia Scarpa Bastiano Couch ~ Newly Restored","4400","SOLD"
"MR2653","","2 Knoll Pollock Executive Chairs New Black Leather","800","SOLD"
"MR2132","http://www.metroretrofurniture.com/images/knoll/knollpollockblue3_t.jpg","(1) Knoll Pollock Executive 1258 Swivel Arm Chair","125","SOLD"
"MR2994","","","null","SOLD"
"MR2087","","Le Corbusier Chaise Lounge","745","SOLD"
"MR2078","","Ergonomic Kneeling Stool Black Rolling","50","SOLD"
"MR2993","","Vintage Jofco Jasper L-shaped Walnut Desk","499","SOLD"
"MR2102","","Vintage Herman Miller Eames Desk","899","null"
"MR2543","","Thomasville Founders Series Wood Desk Knoll Eames Era","299","SOLD"
"MR2427","","Zographos Bronze Glass Round Coffee Table","895","SOLD"
"MR2627","","Herman Miller Kiva Pebble Tables","255","SOLD"
"MR2583","","Framed Air France Posters","19","SOLD"
"MR2755","","","null","SOLD"
"MR2754","","","null","SOLD"
"MR2476","","Pederson Fox Enron Drawing - Food Court","45","SOLD"
"MR","","relist MR# 7037 Vintage 6ft Oval Marble Dining Table Milky Green","2000","SOLD"
"MR2801","http://www.metroretrofurniture.com/images/marble/bigchromeconsolemarbletop1_t.jpg","74"" Mid Century Modern Stainless Steel Base Carrara Marble Serving Table Credenza","1195","SOLD"
"MR2508","http://www.metroretrofurniture.com/images/marble/bigmarbleblock2_t.jpg","3.5f Square Vintage Gray Marble Block Coffee End Table","899","SOLD"
"MR2191","","Herman Miller Eames 8ft Rectangular Laminate Dining Table","1195","SOLD"
"MR2544","","","null","SOLD"
"MR2877","","Modern Knoll Scarpa Andre Coffee Table","1695","SOLD"
"MR2245","","Vintage Walnut Bookcase Knoll Eames Era","300","SOLD"
"MR2932","http://www.metroretrofurniture.com/images/conference/whitemarbleconftable2_t.jpg","13ft Vintage Modern White Marble Conference Table~Polished Chrome Base~","5499","SOLD"
