MR-ID,images-src,product_name,price,sold-status
"MR6664","http://www.metroretrofurniture.com/images/knoll2/y53pfisterschairsnew03_t.jpg","(2) Knoll Pfister Mid Century Modern Club Lounge Chairs","1195","SOLD"
"MR6508","http://www.metroretrofurniture.com/images/cabinet/t78glasscabinetrefinished002_t.jpg","Mid Century Lawyers Walnut & Glass Bookcase","595","null"
"MR6441","http://www.metroretrofurniture.com/images/coffeetable/o58barcelonastyleglassaluminumtable04_t.jpg","sold Mid Century Modern Barcelona Style Low Coffee Table","595","SOLD"
"MR6730","http://www.metroretrofurniture.com/images/lounge/w21highbackchair44x25x79sh15$695vg03_t.jpg","Rare and Unusual Spindle Back Modernist Arts and Crafts Chair","6320","null"
"MR6470","http://www.metroretrofurniture.com/images/chairIII/u06taskchairsbrownwoodbase02_t.jpg","Vintage Propeller Wooden Base Executive Arm Chair","149","SOLD"
"MR6900","http://www.metroretrofurniture.com/images/drexel/ab67vanitystooldrexelbench06_t.jpg","Vintage Drexel Wormley Vanity Stool Bench 200-2","295","SOLD"
"MR6239","http://www.metroretrofurniture.com/images/credenza/deskrichardschultzandcredenza01_t.jpg","6ft Knoll Vintage Richard Schultz Desk & 5ft Credenza","2995","SOLD"
"MR6321","http://www.metroretrofurniture.com/images/dining/t21diningtabletaperedlegs01_t.jpg","Vintage Solid Wood Dining Table with Elm Burl Top","795","SOLD"
"MR6056","http://www.metroretrofurniture.com/images/rugs/q26greenborderpurpleflouersrug06_t.jpg","Cotton Dhurrie Rug Geometric Floral Pattern","2400","SOLD"
"MR6824","http://www.metroretrofurniture.com/images/bookcase/z06decowallunit119x20x62vg06_t.jpg","10ft French Walnut Art Deco Breakfront Bookcase Display","5500","SOLD"
"MR6948","http://www.metroretrofurniture.com/images/stools/ac02barstoolsblackandwhitevinyl03_t.jpg","sold 1/24/08 Mid Century Black & White Wood Chrome Bar Stools","495","SOLD"
"MR6681","http://www.metroretrofurniture.com/images/knoll2/u44sidechairredvinylchrome03_t.jpg","1950s Vintage Knoll Art Metal Aluminum Arm Chair","395","SOLD"
"MR6078","http://www.metroretrofurniture.com/images/desk2/r24blackmetaldesk03_t.jpg","sold Norman Bel Geddes Ebonized Desk U Shaped Legs","895","SOLD"
"MR6843","http://www.metroretrofurniture.com/images/stand/a66facadenightstands03_t.jpg","(2) 1950s Scandinavian Facade Walnut Night Table Stands","795","SOLD"
"MR6073","http://www.metroretrofurniture.com/images/tablesII/q39largeextensionhaywoodwakefielddiningtable07_t.jpg","5ft Vintage Heywood Wakefield Solid Wood Dining Table","1195","null"
"MR6327","http://www.metroretrofurniture.com/images/armchairs/s62zographosleatherloungechair07_t.jpg","(2) Vintage Zographos Leather Lounge Arm Chairs","1195","SOLD"
"MR6082","http://www.metroretrofurniture.com/images/conference/p16woodconferencetable02_t.jpg","10ft Mid Century Modern Oak Conference Table","1495","null"
"MR6190","http://www.metroretrofurniture.com/images/tablesII/bronze02_t.jpg","sold 4/7/08 3.5 ft Bronze Glass Top Coffee Table","395","SOLD"
"MR6150","http://www.metroretrofurniture.com/images/desk/p35floatindesktop06_t.jpg","Mid Century Modern Wood Floating Desk","695","SOLD"
"MR6981","http://www.metroretrofurniture.com/images/chairIII/ac08starbasewhitevinylseatsmetalframenewreupholstered05_t.jpg","(4) Mid Century Modern Metal Frame White Side Chairs White Tufted Seat Backs 4 Star Base","995","null"
"MR6674","http://www.metroretrofurniture.com/images/lounge/x91danishstylelounge27x25x28sh15vg02_t.jpg","""The Easy Chair"" Danish Lounge Bodil Kjær Style SOLD","null","SOLD"
