MR-ID,images-src,product_name,price,sold-status
"MR4745","http://www.metroretrofurniture.com/images/sidetable/shrieber04_t.jpg","Mid Century Modern Shreiber End Table Living Eames Era","295","SOLD"
"MR4143","","","null","SOLD"
"MR4325","http://www.metroretrofurniture.com/images/burdick/b20hermanmillerworkstationmarblesidetop21_t.jpg","Herman Miller Burdick Group Marble Desk 10ft","4495","SOLD"
"MR4357","http://www.metroretrofurniture.com/images/stools/2ritterbymidmarkgreenvinylstools11_t.jpg","sold Midmark Ritter Physician Adjustable Stool Green Vinyl","89","SOLD"
"MR4325","http://www.metroretrofurniture.com/images/burdick/b20hermanmillerworkstationmarblesidetop06_t.jpg","Herman Miller Burdick Group Marble Desk 10ft","4495","SOLD"
"MR4698","http://www.metroretrofurniture.com/images/kittinger/kittingercornerdesk02_t.jpg","sold Vintage Kittinger Mahogany Brass Corner ""L"" Shaped Desk","1495","SOLD"
"MR4595","","","null","SOLD"
"MR4389","http://www.metroretrofurniture.com/images/marble/e72elevenftmarbleracetracktable05_t.jpg","11ft Midcentury Modern Helikon Marble Conference Table","5995","SOLD"
"MR4958","http://www.metroretrofurniture.com/images/chair/d53gforangecloth07_t.jpg","3 Vintage General Fireproofing Chair","1125","null"
"MR4391","http://www.metroretrofurniture.com/images/art/airbrushlandscape4_t.jpg","David Kessler Contemporary Lithograph Triptych Signed","2495","SOLD"
"MR4552","http://www.metroretrofurniture.com/images/steelcase/b30steelcasedeskwmetalcabinet02_t.jpg","Steelcase Walnut Wood Vintage L-Shape Desk Office","899","SOLD"
"MR4828","http://www.metroretrofurniture.com/images/tables/c95redkartelltable06_t.jpg","Vintage Kartell Anna Castelli End Side Table ABS Table","125","SOLD"
"MR4692","http://www.metroretrofurniture.com/images/chair/a27overmanred01_t.jpg","Mid Century Overman Eames Era Scandinavian Swivel Chair","449","SOLD"
"MR4167","http://www.metroretrofurniture.com/images/knoll/knollpetittbrownfab01_t.jpg","Knoll Don Petitt Side Chair Brown","199","SOLD"
"MR4800","http://www.metroretrofurniture.com/images/tables/d255ftroundtable01_t.jpg","5ft Mid Century Modern Dining Conference Table","795","SOLD"
"MR4751","http://www.metroretrofurniture.com/images/chair/c42conantballwoodenchairhorseshoeshaped02_t.jpg","SOLD Pair (2) Vintage Russel Wright Conant Ball Chairs","295","SOLD"
"MR4968","http://www.metroretrofurniture.com/images/cabinet/e79secretarywalnut19_t.jpg","SOLDGerman Walnut Mid Century Secretary Hutch","995","SOLD"
"MR4511","http://www.metroretrofurniture.com/images/carpet/e9iilteakfilecabinet09_t.jpg","IIL Herman Miller Rosewood Marble File Cabinet","299","SOLD"
"MR4364","http://www.metroretrofurniture.com/images/stools/a95danishthreeleggedwoodstoolsalto07_t.jpg","Set of Three Danish Bentwood Nesting Stools","199","SOLD"
"MR4253","","","null","SOLD"
"MR4815","http://www.metroretrofurniture.com/images/sculpture/c35runningmansculpture04_t.jpg","Modern Glass Metal Art Table Sculpture Stained Glass","149","SOLD"
"MR4262","http://www.metroretrofurniture.com/images/wright/b46russelwrighttableand3stools06_t.jpg","Russel Wright Low Table 3 Nesting Stools Midcentury","895","SOLD"
"MR4047","","Pair (2) Knoll Vincent Cafiero Red Lounge Chairs","495","SOLD"
"MR4964","http://www.metroretrofurniture.com/images/coffeetable/c75coffeetable01_t.jpg","Mid Century Modern Teak Low Coffee Table","395","null"
"MR4295","http://www.metroretrofurniture.com/images/tables/b62calcompdrawingboard07_t.jpg","CalComp Electric Drawing Board III Drafting Table","395","SOLD"
"MR4864","","","null","SOLD"
"MR4342","http://www.metroretrofurniture.com/images/hermanmiller/allshell_t.jpg","Herman Miller Eames Fiberglass Shell BRIGHT YELLOW","179","SOLD"
"MR4542","http://www.metroretrofurniture.com/images/iil/c41interiorsinternationalimitedcredenza08_t.jpg","Vintage IIL Herman Miller Walnut Chrome Credenza 78""","995","SOLD"
"MR4257","http://www.metroretrofurniture.com/images/scarpa/b33leatherchairsatelierinternational03_t.jpg","Cassina Mario Bellini Tentazione Armchair Tan Leather","2495","SOLD"
"MR4797","http://www.metroretrofurniture.com/images/recentstuff/c53frenchwalnutbuffet07_t.jpg","Art Deco French Walnut Breakfront","1895","SOLD"
"MR4384","http://www.metroretrofurniture.com/images/desk/c28silvermetalfrostedglassdesk03_t.jpg","Modern 5ft Metal and Frosted Glass Desk","249","SOLD"
"MR4000","","Mid-Century Knoll Pearwood Calcata Marble Credenza","3495","SOLD"
"MR4389","http://www.metroretrofurniture.com/images/marble/e72elevenftmarbleracetracktable04_t.jpg","11ft Midcentury Modern Helikon Marble Conference Table","5995","SOLD"
"MR4026","http://www.metroretrofurniture.com/images/hermanmillertable/foldingwheelytable05_t.jpg","Warren McArthur Folding Extending Table","995","null"
"MR4541","http://www.metroretrofurniture.com/images/bertoia/bertoiablackdiamondnocushion07_t.jpg","Midcentury Pair of Knoll Harry Bertoia Diamond Chairs","995","SOLD"
"MR4155","http://www.metroretrofurniture.com/images/bertoia/blackbertoiawcushion05_t.jpg","Knoll Harry Bertoia Side Chair Black with Cushion","200","SOLD"
"MR4995","http://www.metroretrofurniture.com/images/conantball/e10bilevelendtable03_t.jpg","Conant Ball Night Table Birch Russel Wright Mint Cond.","299","SOLD"
"MR4311","http://www.metroretrofurniture.com/images/hermanmiller/c7hermanmillersideshellsfabric4starbases03_t.jpg","Herman Miller Eames Side Chair","null","SOLD"
"MR4199","http://www.metroretrofurniture.com/images/knoll/a15knollpropellerfoldingtable02_t.jpg","Knoll Frattini Propeller 6ft Meeting Table","499","SOLD"
"MR4966","http://www.metroretrofurniture.com/images/cabinet/d75rosewiidcabinet05_t.jpg","SOLDVintage Mid Century Danish Rosewood 50s Cabinet","995","SOLD"
"MR4943","http://www.metroretrofurniture.com/images/art/tomkiltyenronbuildingphototree02_t.jpg","Signed Framed Tom Kilty Enron Building Photograph","149","SOLD"
"MR4340","http://www.metroretrofurniture.com/images/knoll/knollmarblecoffeetablebronzebase02_t.jpg","Florence Knoll Calcata Marble Bronze Base","1995","SOLD"
"MR4784","http://www.metroretrofurniture.com/images/leopold/lehighleopolddeskrefinish4_t.jpg","SOLD Mid Century Modern Lehigh Leopold Vintage Desk Office","795","SOLD"
"MR4826","http://www.metroretrofurniture.com/images/dining/c70floralbreakfastdining02_t.jpg","46"" Round Danish Modern Fiberglass Floral Dining Table","1295","SOLD"
"MR4986","http://www.metroretrofurniture.com/images/newarrivals/f6cabinetwglass09_t.jpg","Scandinavian Mid Century Breakfront Display Sideboard","695","SOLD"
"MR4534","http://www.metroretrofurniture.com/images/credenza/e11gfsmallcredenzacabinet08_t.jpg","Modern GF Davis Allen Storage Credenza","695","SOLD"
"MR4716","http://www.metroretrofurniture.com/images/hermanmiller/a97hermanmillertimelifeblackleather11_t.jpg","Eames Herman Miller Time & Life Executive Black Leather Chair","1495","SOLD"
"MR4395","http://www.metroretrofurniture.com/images/zographos/c35zographosgraychairs05_t.jpg","Vintage Midcentury Modern Zographos Leather Side Chair","895","null"
"MR4861","http://www.metroretrofurniture.com/images/art/c86germanyredvase05_t.jpg","soldDumler Breiden 1920-1930 German Pottery Clay Vase Ceramic","99","SOLD"
"MR4852","http://www.metroretrofurniture.com/images/sidetable/c97pairknollendtables03_t.jpg","Mid Century Florence Knoll Side End Table","795","SOLD"
"MR4095","","Berg Rosewood Leather Vintage Office Desk","3495","SOLD"
"MR4992","http://www.metroretrofurniture.com/images/couch/armlessknollsettee03_t.jpg","Vintage Florence Knoll Armless Settee Original Fabric","3495","SOLD"
"MR4309","http://www.metroretrofurniture.com/images/electronics/bangandolufsensterosystem02_t.jpg","Vintage Bang & Olufsen Beocenter 9500 Beogram Beovox","2500","SOLD"
"MR4361","http://www.metroretrofurniture.com/images/stow/a58stowdavisarmlessredvelvetchrome05_t.jpg","Pair of Vintage Stow Davis Paradigm Slipper Back Chair","295","SOLD"
"MR4980","http://www.metroretrofurniture.com/images/credenza/f15walnuthutch01_t.jpg","Mid Century Modern Walnut Scandanavian Secretary Hutch","895","SOLD"
"MR4203","http://www.metroretrofurniture.com/images/dunbar/dunbarosewoodsidesoakbodydesk07_t.jpg","Dunbar Wormley Rosewood Mahogany Desk","1995","SOLD"
"MR4592","http://www.metroretrofurniture.com/images/baker/bakertable07_t.jpg","Baker Center Table Mahogany Burl Wood Two Tone Top","595","SOLD"
"MR4212","http://www.metroretrofurniture.com/images/dunbar/a45greenleatherloungedunbarchairs03_t.jpg","Pair of Dunbar Green Leather Chairs Barrel Wormley","1500","SOLD"
