MR-ID,images-src,product_name,price,sold-status
"MR5839","http://www.metroretrofurniture.com/images/credenza/n39darkwoodcredenza2cabinetwithkey06_t.jpg","7` VINTAGE WOOD CREDENZA BREAK FRONT SIDEBOARD","995","SOLD"
"MR5506","http://www.metroretrofurniture.com/images/tablesII/h88twotiertabledesk03_t.jpg","Vintage Two Tier Entrance Table Desk Mahogany","599","null"
"MR5492","http://www.metroretrofurniture.com/images/desk2/h27desktablesteelcase06_t.jpg","sold Steelcase Tank Desk Set Work Table Mid Century","895","SOLD"
"MR5936","http://www.metroretrofurniture.com/images/tablesII/o65hermanmillerconferencetable09_t.jpg","sold 6ft Herman Miller Racetrack Conference Dining Table","895","SOLD"
"MR5452","http://www.metroretrofurniture.com/images/thonet/thonetpurple04_t.jpg","Vintage Thonet Marcel Breuer Arm Chair Purple ENRON mixed colors","99","null"
"MR5195","http://www.metroretrofurniture.com/images/chairII/g56americangeneralchairs05_t.jpg","(2) Vintage Solid Bar Stacking Side Chair Fine Fabric","395","SOLD"
"MR5987","http://www.metroretrofurniture.com/images/hermanmiller/10redhermanmillerhbase04_t.jpg","Vintage Herman Miller Eames Fiberglass Shell Chair ORANGE","179","SOLD"
"MR5679","http://www.metroretrofurniture.com/images/enron/l70knollreff2drawermetalback04_t.jpg","sold Knoll Reff Wood 2 Drawer Lateral File Metal Back","399","SOLD"
"MR5918","http://www.metroretrofurniture.com/images/bedset/x24bedboard03_t.jpg","SOLDMid Century Full Size Wood Bed Set","795","SOLD"
"MR5272","http://www.metroretrofurniture.com/images/chairII/h6869setvinylloungechairsreddishpink03_t.jpg","Pair (2) Vintage Rose Italian Side Chairs","null","null"
"MR5877","http://www.metroretrofurniture.com/images/artII/n100framedorientalartwork08_t.jpg","54"" x 29"" Oak Framed Oriental Bamboo Art Relief Work","295","null"
"MR5881","http://www.metroretrofurniture.com/images/dresser/n05achandcraftedresser04_t.jpg","Vintage Highboy Wood Dresser Tapered Legs","895","SOLD"
"MR5212","http://www.metroretrofurniture.com/images/credenza/h99breakfastcabinetwithtrayhopewell03_t.jpg","sold 2/10/08 4` Vintage Bleached Mahogany Breakfront Credenza","695","SOLD"
"MR5297","http://www.metroretrofurniture.com/images/tablesII/j40bakertable07_t.jpg","10ft Vintage Baker Mahogany Dining Conference Table  REDUCED FROM 3995.00 SOLD","2799","SOLD"
"MR5456","http://www.metroretrofurniture.com/images/sidetable/k01wickerhourglassshapeendtable05_t.jpg","Vintage Sheaf of Wheat Side Table","299","SOLD"
"MR5841","http://www.metroretrofurniture.com/images/dresser/n38gplan6drawerdresser03_t.jpg","VINTAGE REDDISH WOOD EIGHT DRAWER DRESSER","795","SOLD"
"MR5994","http://www.metroretrofurniture.com/images/wardbennett/o82wardbennettwidecanechair04_t.jpg","(1) Ward Bennett Brickel Cane Carved Side Chair","850","SOLD"
"MR5059","http://www.metroretrofurniture.com/images/chair/e26beigerockerwoodlegsarms07_t.jpg","Mid Century Walnut Vintage Lounge Chair Rocker","695","null"
"MR5048","http://www.metroretrofurniture.com/images/chair/f80knollsorensonchair02_t.jpg","Knoll Abel Sorenson Early Edition Webbed Mid Chair","1500","null"
"MR5886","http://www.metroretrofurniture.com/images/Bar/n08dropleafbar05_t.jpg","5ft Vintage Danish Style Drop Leaf Bar Wood SOLD","895","SOLD"
"MR5166","http://www.metroretrofurniture.com/images/dining/h09earlyeditiondiningtable02_t.jpg","Mid Century Florence Knoll Round White Dining Table","1295","SOLD"
