MR-ID,images-src,product_name,price,sold-status
"MR3420","http://www.metroretrofurniture.com/images/dunbar/allfourdunbarchairsmr3420dunbararmchairs02_t.jpg","(4) Mid Century Modern Dunbar Edward Wormley Mahogany Arm Chairs Off-white Fabric","2000","SOLD"
"MR3682","","","null","SOLD"
"MR3655","http://www.metroretrofurniture.com/images/bench/butterscotchleatherbench4_t.jpg","4ft Vintage Vinyl & Wood Bench Butterscotch *consigned to NYC*","495","SOLD"
"MR3724","","6ft Midcentury Vintage Florence Knoll Leather Bench","1995","SOLD"
"MR3464","","","null","SOLD"
"MR3143","http://www.metroretrofurniture.com/images/recentstuff/maddogpollock02_t.jpg","(1) Knoll Pollock Executive 1258 Leather Side Arm Chair","250","SOLD"
"MR3986","http://www.metroretrofurniture.com/images/scarpa/newitaliananilineleatherloungeottoman07_t.jpg","B&B Italia Scarpa Leather Coronado Chair and Ottoman","2900","null"
"MR3520","","sold Vintage Stow Davis Leather Top Desk","1095","SOLD"
"MR3926","http://www.metroretrofurniture.com/images/coffeetable/granitewoodcoffeetable03_t.jpg","Vintage Mahogany Base Granite Table","300","null"
"MR3445","","Original Watercolor","null","SOLD"
"MR3794","","Vintage Scandinavian Style Walnut Rocking Chair","399","SOLD"
"MR3367","http://www.metroretrofurniture.com/images/saarinen/eeroside2_t.jpg","Knoll Saarinen Round Side Tulip Base Table Mid Century Modern","595","SOLD"
"MR3721","http://www.metroretrofurniture.com/images/jensrisom/jensrisomsofawtable08_t.jpg","7.5ft Knoll Jens Risom Midcentury Modern Sofa Side Table","1275","SOLD"
"MR3672","","Tambour Door Metal Credenza Vintage Modern","795","SOLD"
"MR3483","","2 Knoll Pollock Arm Chairs Orange Suede 5-star Base","695","SOLD"
"MR3714","http://www.metroretrofurniture.com/images/chair/cassinabluediningchairs05_t.jpg","Cassina Wood Fabric Lounge Club Chair","495","SOLD"
"MR3272","http://www.metroretrofurniture.com/images/tablesII/rodriguestylesidetable01_t.jpg","Vintage Brazilian Jacaranda Rosewood Coffee Table","595","SOLD"
"MR3189","","Mid Century Modern Carrara Marble Chrome Side End Table","895","null"
"MR3986","http://www.metroretrofurniture.com/images/scarpa/newitaliananilineleatherloungeottoman08_t.jpg","B&B Italia Scarpa Leather Coronado Chair and Ottoman","2900","null"
"MR3657","","Knoll Blonde Wood Credenza Ten Drawer","2795","SOLD"
"MR3216","","","null","SOLD"
"MR3945","http://www.metroretrofurniture.com/images/chairIII/florenceknollstylechair01_t.jpg","Vintage Florence Knoll Style Chair Steel Frame","399","SOLD"
"MR3224","","Sold Florence Knoll T-1 Boat Shaped Table 10 foot","2495","SOLD"
"MR3848","http://www.metroretrofurniture.com/images/tables/moser3conferencetable01_t.jpg","Thos Moser Arts and Crafts Solid Maple Conference Table Cabinet Maker Signed Cabinetmaker","2995","SOLD"
"MR3933","http://www.metroretrofurniture.com/images/modernica/2italianleatherchairs01_t.jpg","Pair of Vintage Mario Bellini Italian Leather Chairs 1970s","1900","null"
"MR3554","","Mies Barcelona Style Chrome And Glass Coffee Table","null","SOLD"
"MR3573","","","null","SOLD"
"MR3116","http://www.metroretrofurniture.com/images/tables/stenstyletable03_t.jpg","Modern Stendig Omega Conference Table Desk","695","SOLD"
"MR3347","http://www.metroretrofurniture.com/images/stow/mr3347vintagestowdaviswoodsidecoffeetable03_t.jpg","2.5ft Vintage Stow Davis Walnut Side Coffee Table","299","SOLD"
"MR3346","","4 Mies Van Der Rohe Mr 10 Side Chairs Stendig","995","SOLD"
"MR3676","","Tall Back Scandinavian Style Side Chair Retro Modern","29","SOLD"
"MR3907","","sold Monarch Walnut Lounge Chair Pair (2)","495","SOLD"
"MR3918","http://www.metroretrofurniture.com/images/georgenelson/hmgeorgenelsonreceptionarea01_t.jpg","Herman Miller Nelson Propst Reception Area","1995","null"
"MR3986","http://www.metroretrofurniture.com/images/scarpa/newitaliananilineleatherloungeottoman03_t.jpg","B&B Italia Scarpa Leather Coronado Chair and Ottoman","2900","null"
"MR3026","","Pair Knoll Cafiero Lounge Chairs Red Fabric","399","SOLD"
"MR3710","","Vintage Velvet 1920s Style Cloche Hat","19","SOLD"
"MR3860","","","null","SOLD"
"MR3350","http://www.metroretrofurniture.com/images/desk2/mr3350adjustablecomputerdraftingtabledeskcherry01_t.jpg","5ft Vintage Computer Drafting Table Cherry Desk","895","null"
"MR3814","","CB9049 Gerrit Rietveld Style Red/Blue Chair","499","SOLD"
"MR3965","http://www.metroretrofurniture.com/images/knoll/knoll8drawercredenza01_t.jpg","Florence Knoll Mahogany Credenza","2795","SOLD"
"MR3310","","11ft  Marble Reception Desk Modern Vintage","3595","SOLD"
"MR3804","","C9047 Arne Jacobsen Style Chair","null","SOLD"
"MR3923","http://www.metroretrofurniture.com/images/heywood/av19heywoodwakefieldtwotiersidetable03_t.jpg","Vintage Heywood Wakefield Two Tier Side Lamp Table 337G","495","SOLD"
"MR3634","http://www.metroretrofurniture.com/images/knoll/af98knollinternationalblackleatherchairs02_t.jpg","Vintage Knoll Gae Aulenti Dining Table and 4 Leather Chairs Set","3900","null"
"MR3315","http://www.metroretrofurniture.com/images/desk/partnersdesk04_t.jpg","Vintage Antique Partners Drafting Architectural Desk","1495","SOLD"
"MR3347","http://www.metroretrofurniture.com/images/stow/mr3347vintagestowdaviswoodsidecoffeetable01_t.jpg","2.5ft Vintage Stow Davis Walnut Side Coffee Table","299","SOLD"
"MR3391","","","null","SOLD"
"MR3765","http://www.metroretrofurniture.com/images/gf/burgundygfchair01_t.jpg","GF Office Furniture Aluminum Chair Burgundy","395","null"
"MR3152","http://www.metroretrofurniture.com/images/metro/metropolitancoffeetable02_t.jpg","5ft Belschner Metro Oak Glass Coffee Occasional Table HOLD","595","SOLD"
"MR3332","","Pair Knoll Saarinen Executive/Office Chairs","499","SOLD"
"MR3134","","4  Ft Stainless Steel Table Kitchen Studio Industrial","125","SOLD"
"MR3947","","Bruce Hannah Andrew Morrison Knoll Maple Table","295","SOLD"
"MR3728","http://www.metroretrofurniture.com/images/heywood/wakefieldspacedouble08_t.jpg","Sold Heywood Wakefield Encore Wheat Double Dresser M524","1195","SOLD"
"MR3620","","Four Drawer Walnut File Cabinet","395","SOLD"
"MR3720","","Pair of Vintage Side Chairs","49","SOLD"
"MR3087","","","null","SOLD"
"MR3775","http://www.metroretrofurniture.com/images/conantball/replacementpicforconantballdiningchair05_t.jpg","SOLD Vintage Conant Ball Russel Wright Side Dining Chairs","149","SOLD"
"MR3778","http://www.metroretrofurniture.com/images/hm/18bighmspblack04_t.jpg","(1) Herman Miller Soft Pad Executive Chairs Black Leather","1295","SOLD"
"MR3553","","Vintage Modern Blonde Wood Credeza Chrome Trim","695","SOLD"
"MR3167","http://www.metroretrofurniture.com/images/knoll/newblackbrnonopads2_t.jpg","(1) Knoll Mies van der Rohe Brno Chair Black Leather","995","SOLD"
"MR3056","","Zographos Alpha 42"" Table Black Granite","1500","SOLD"
"MR3075","","Pair of Herman Miller Eames Aluminum Group Management Chairs","995","SOLD"
"MR3994","","","null","SOLD"
"MR3756","","","null","SOLD"
"MR3789","","SOLD Vintage Brazilian Leather Rosewood Sofa","1795","SOLD"
"MR3722","http://www.metroretrofurniture.com/images/knoll/knollstackchairs01_t.jpg","4 Knoll Vignelli Stacking Handkerchief Padded Chairs","399","SOLD"
"MR3815","","S9050 George Nelson Style Sofa","1995","SOLD"
"MR3436","","WH Overend Historical Print","null","SOLD"
"MR3112","","","null","SOLD"
"MR3785","http://www.metroretrofurniture.com/images/gf/gfrowlandstackingchairs04_t.jpg","Vintage Eames Era GF Rowland 40/4 Stacking Chair","249","SOLD"
"MR3258","","","null","SOLD"
"MR3174","","Knoll Saarinen Executive/Office Chair","249","SOLD"
"MR3065","","2Mid Century Modern Retro Custom Chairs Blue","100","SOLD"
"MR3614","http://www.metroretrofurniture.com/images/desk/jofcodesk02_t.jpg","Vintage Jofco Jasper Two Pedestal Wood Desk File REDUCED FROM 795.00","599","SOLD"
"MR3079","http://www.metroretrofurniture.com/images/knoll/knollbluelounge03_t.jpg","Knoll Jim Eldon Love Seat and Lounge Chair Scarpa Style","3900","SOLD"
