MR-ID,images-src,product_name,price,sold-status
"MR9261","http://www.metroretrofurniture.com/images/rugs/aam75rug01_t.jpg","65""x46"" Vintage Genuine Hand Woven Persian Area Rug","null","null"
"MR9971","http://www.metroretrofurniture.com/images/desk2/aay68whitedesk01_t.jpg","5ft Hamilton Vintage Work Table","795","null"
"MR9980","http://www.metroretrofurniture.com/images/ligne%20roset/aaz02pillows01_t.jpg","(1) NEW Ligne Roset Spirograph Silk Throw Pillow Black","38","SOLD"
"MR9299","http://www.metroretrofurniture.com/images/tablesII/aao25granitetabletop06_t.jpg","54"" Table Granite Top Polished Chrome Base","1995","null"
"MR9403","http://www.metroretrofurniture.com/images/rugs/aaq53orangegrayrug04_t.jpg","7ft x 9ft Modern Hand Woven Wool Nepal Rug 60% OFF SALE!!!","1295","SOLD"
"MR9447","http://www.metroretrofurniture.com/images/sculpture/aas18treesculpture01_t.jpg","9ft Unique Monumental Natural Freeform Redwood Sculpture","18000","null"
"MR9221","http://www.metroretrofurniture.com/images/lamp/aal74doblelighttablelamp06_t.jpg","Vintage Metal Double Head Desk Table Lamp","null","SOLD"
"MR9492","http://www.metroretrofurniture.com/images/hermanmiller2/aas90yellowhermanmiller05_t.jpg","(1) Herman Miller Eames Fiberglass Armchair Yellow Multiple Available ~ Choose Your Base","595","null"
"MR9809","http://www.metroretrofurniture.com/images/tablebase/aan62stainlesssteelcoffeetablebase03_t.jpg","40"" Square Vintage Stainless Steel Coffee Table Base","1795","null"
"MR9766","http://www.metroretrofurniture.com/images/dining/aau33extensiontableandchairs05_t.jpg","54"" Paul Frankl Style Bamboo Art Deco Dining Set","3800","null"
"MR9247","http://www.metroretrofurniture.com/images/wallunit/aai46walnutwallunit03_t.jpg","65"" Poul Cadovius System Wall Unit Open Shelves Denmark","3200","SOLD"
"MR9571","http://www.metroretrofurniture.com/images/thonet/aat71woodthonetchairs08_t.jpg","(8) Thonet Bentwood Birch Plywood Dining Side Chairs SOLD","4000","SOLD"
"MR9053","http://www.metroretrofurniture.com/images/Buffet/aah03topchinacabinet04_t.jpg","Vintage Walnut Glass Bookcase Hutch China Cabinet","395","SOLD"
