MR-ID,images-src,product_name,price,sold-status
"MR7608","http://www.metroretrofurniture.com/images/bedset/am19twodrawersidetable02_t.jpg","(2) Vintage American Of Martinsville Night Stands Bleached Mahogany & Travertine Composition","1195","SOLD"
"MR7833","http://www.metroretrofurniture.com/images/cabinet/ar85danishtabletwodrawers02_t.jpg","Vintage Danish Teak Low Table Cabinet Thygesen Sørensen","795","SOLD"
"MR7560","http://www.metroretrofurniture.com/images/lamp/ak86bronzelamplionrelief04_t.jpg","Vintage Brass Table Lamp Lighting","99","null"
"MR7879","http://www.metroretrofurniture.com/images/tablesII/ap27fliptopmoderndeskwood06_t.jpg","4ft Vintage Danish Exotic Wood Extension Dining Table","1995","SOLD"
"MR7888","http://www.metroretrofurniture.com/images/jensrisom/as01jensrisomdesk03_t.jpg","5 1/2ft Mid Century Modern Walnut Jens Risom Desk","1595","SOLD"
"MR7703","http://www.metroretrofurniture.com/images/artII/an92excuisetlyjapandoll08_t.jpg","Vintage Early Ceramic Lady Figurine Doll Japan","19","SOLD"
"MR7599","http://www.metroretrofurniture.com/images/chairIII/am25highbackchaircane02_t.jpg","(6) Mid Century Modern Frankl Style Dining Chairs","1295","SOLD"
"MR7490","http://www.metroretrofurniture.com/images/cabinet/al22hmmetalblackcabinetblack03_t.jpg","sold Herman Miller Ethospace® System Filing Cabinet System","695","SOLD"
"MR7619","http://www.metroretrofurniture.com/images/desk2/ak77blackdesk05_t.jpg","3.5ft Vintage Black Desk","395","SOLD"
"MR7986","http://www.metroretrofurniture.com/images/hermanmiller2/at11hmtanvinylsidechair01_t.jpg","(1) Herman Miller Eames Fiberglass Side Shell Chair","179","SOLD"
"MR7878","http://www.metroretrofurniture.com/images/desk2/ap42sunarhausermanoakdesk04_t.jpg","6 1/2ft Vintage Sunar Hauserman Double Pedestal Desk SOLD","795","SOLD"
"MR7707","http://www.metroretrofurniture.com/images/lounge/an56blackironloungeandottoman01_t.jpg","Mid Century Homecrest Wire Metal Lounge Chair & Ottoman","2400","null"
"MR7489","http://www.metroretrofurniture.com/images/cabinet/al21hmmetalblackcabinet09_t.jpg","Sold Herman Miller Ethospace® System Filing Cabinet System Storage Rail Bar File Drawer","595","SOLD"
"MR7851","http://www.metroretrofurniture.com/images/coffeetable/as14allglasscoffeetable01_t.jpg","Mid Century Modern Glass Coffee Table","695","SOLD"
"MR7846","http://www.metroretrofurniture.com/images/hermanmiller2/ao55hermanmillersoftpadgreenbluepattern04_t.jpg","Herman Miller Eames Soft Pad Series Management Chair","795","SOLD"
"MR7677","http://www.metroretrofurniture.com/images/leopold/am49lehighleopolddesk08_t.jpg","Vintage Lehigh Leopold Walnut Desk Refinished","796","SOLD"
"MR7697","http://www.metroretrofurniture.com/images/sofa/an14hanswagnersofagreen07_t.jpg","Mid Century Modern Hans Wegner GE-290 Sofa Denmark","2400","SOLD"
"MR7735","http://www.metroretrofurniture.com/images/saarinen/an51saarinenchairs09_t.jpg","(1) Vintage Herman Miller Eames Shell Armchair Black","595","SOLD"
