MR-ID,images-src,product_name,price,sold-status
"MR10136","http://www.metroretrofurniture.com/images/chairIII/aaw92threeleggedchair03_t.jpg","(4) Vintage Mid Century Modern Danish Style Teak Chairs in the manner of Hans Olsen","1800","null"
"MR10309","http://www.metroretrofurniture.com/images/dresser/abc31teakdesk04_t.jpg","61"" Vintage Teak Danish Dresser Refinished","795","SOLD"
"MR10611","http://www.metroretrofurniture.com/images/desk2/abi12helikondeskcedenza06_t.jpg","6ft Vintage Helikon Rosewood Kneehole Credenza","2900","null"
"MR10542","http://www.metroretrofurniture.com/images/cabinet/abg49credenza03_t.jpg","98"" Italian Breakfront Sideboard Cabinet Credenza","6700","null"
"MR10766","http://www.metroretrofurniture.com/images/drexel/abk64drexeldresser06_t.jpg","42"" Milo Baughman Dresser for Drexel","3200","null"
"MR10070","http://www.metroretrofurniture.com/images/chairIII/aay53whitefiberglasschair01a_t.jpg","Vintage White Fiberglass Lounge Arm Chair","1900","null"
"MR10061","http://www.metroretrofurniture.com/images/wallunit/aay43woodshelunit02_t.jpg","50"" Vintage Industrial Free Standing Divider Wall Unit","295","SOLD"
"MR10449","http://www.metroretrofurniture.com/images/sidetable/abg45sidetablenightstand06_t.jpg","Mid Century Modern Universal Cabinet","195","SOLD"
"MR10135","http://www.metroretrofurniture.com/images/desk2/aaz83desktable05_t.jpg","6ft Vintage Davis Allen Teak and Chrome Desk","3900","SOLD"
"MR10079","http://www.metroretrofurniture.com/images/miscelaneous/aav59englandpot06_t.jpg","Vintage Ever Hot English Insulated Tall Teapot Kettle","99","SOLD"
"MR10764","http://www.metroretrofurniture.com/images/credenza/abl18mcmcredenzawoodlaminatetop03_t.jpg","74"" Mid Century Wood Credenza with Laminate Top","995","null"
"MR10644","http://www.metroretrofurniture.com/images/knoll2/abi90maxpearsonchair05_t.jpg","(1) Vintage Knoll Max Pearson Side Chair Tan","null","SOLD"
"MR10444","http://www.metroretrofurniture.com/images/dresser/abg43martinvilledresserandmirror03_t.jpg","56"" Vintage American Of Martinsville Dresser Chest PRICE REDUCED","487","SOLD"
"MR10817","http://www.metroretrofurniture.com/images/cabinet/abl70woodcredenza05_t.jpg","7ft Mid Century Modern Danish Teak Credenza Sideboard SOLD","3900","SOLD"
"MR10839","http://www.metroretrofurniture.com/images/dining/abh83heritagediningtable05_t.jpg","84"" Vintage Heritage Extension Walnut Dining Table","1995","null"
